,, 霞關,35.672548,139.751709
,, 大手町,35.686029,139.763416
,, 淡路町,35.694971,139.767456
,, 日比谷,35.674893,139.759608
,,竹橋,35.690425,139.758453
,,九段下,35.69552,139.751209
,,二重橋前,35.680628,139.761848
,, 新御茶之水,35.696976,139.765453
,,麴町,35.685018,139.737262
,,永田町,35.677815,139.741728
,,櫻田門,35.677308,139.751384
,,半藏門,35.685396,139.741669
,,神保町,35.69594,139.757629
,, 內幸町,35.669371,139.755327
,, 小川町,35.695138,139.766842
,, 岩本町,35.695615,139.775195
中央區,,新日本橋,35.689031,139.774258
,,馬喰町,35.693408,139.782449
,,八丁堀,35.674611,139.777811
,,銀座站,35.671763,139.764311
,,京橋,35.67668,139.77003
,,日本橋,35.682127,139.774665
,,三越前,35.687164,139.773569
,,東銀座,35.669713,139.767161
,,築地,35.6679,139.772507
,,茅場町,35.679063,139.77961
,,人形町,35.686288,139.782347
,,小傳馬町,35.690758,139.778496
,,銀座一丁目,35.674404,139.766967
,,新富町,35.670553,139.773622
,,月島,35.66441,139.784829
,, 水天宮前,35.68302,139.785156
,, 寶町,35.675744,139.772032
,,東日本橋,35.692118,139.784749
,,馬喰橫山,35.691973,139.782974
,,濱町,35.688491,139.787932
,,勝鬨,35.659001,139.777143
,,築地市場,35.664887,139.766882
港區,,品川,35.62849,139.738754
,,新橋,35.666221,139.758332
,,濱松町,35.65539,139.757132
,,田町,35.645529,139.747831
,,表參道,35.665257,139.712093
,,外苑前,35.670405,139.717807
,,青山一丁目,35.672922,139.723779
,,赤坂見附山,35.676821,139.737259
,,虎之門,35.670167,139.750076
,,廣尾,35.651874,139.722248
,,六本木,35.662931,139.731503
,,神谷町,35.662643,139.74474
,,乃木坂,35.666493,139.726244
,,赤坂,35.67222,139.736377
,,白金台,35.638421,139.72678
,,白金高輪,35.642852,139.734104
,,麻布十番,35.656407,139.7366
,,六本木一丁目,35.665478,139.739
,,高輪台,35.631679,139.730326
,,泉岳寺,35.638138,139.739703
,,三田,35.647945,139.748569
,,大門,35.656559,139.75444
,,芝公園,35.653936,139.749834
,,御成門,35.660566,139.751237
,,赤羽橋,35.655007,139.74398
,,汐留,35.662926,139.759964
新宿區,,新宿,35.689395,139.700459
,,新大久保,35.701328,139.700055
,,高田馬場,35.71356,139.70415
,,四谷,35.686349,139.730381
,,信農町,35.680118,139.720363
,,西新宿,35.694226,139.69278
,,新宿三丁目,35.690811,139.706355
,,新宿御苑前,35.688553,139.710838
,,四谷三丁目,35.687972,139.720743
,,落合,35.71066,139.686102
,,旱稻田,35.705861,139.720987
,,神樂坂,35.70382,139.73453
