區域,景點,,地址,X,Y
,旧安田庭園,,,35.698357,139.793867
,本所松坂町公園(吉良上野介邸跡）,,,35.693349,139.794312
,両国公園,,,35.693675,139.795968
,錦糸公園,,,35.699382,139.817161
,わんぱく天国,,,35.709328,139.817548
,京島南公園,,,35.713067,139.822123
,東武博物館,,,35.7235,139.81903
,アサヒビールタワー,,,35.710121,139.800696
,たばこと塩の博物館,,,35.705756,139.808548
,すみだ北斎美術館,,,35.696404,139.800531
,江戶東京博物館,,,35.696603,139.795713
,東京スカイツリー,,,35.710116,139.810703
,十間橋,,,35.708261,139.818054
,東向島白鬚神社,,,35.725312,139.81311
,弘福寺,,,35.717231,139.809039
,高木神社,,,35.714772,139.815224
,江島杉山神社,,,35.691368,139.792722
,回向院,,,35.693311,139.792006
,隅田稲荷神社,,,35.73164,139.824142
,志満ん草餅,,,35.723197,139.812331
,吉備子屋,,,35.723475,139.812811
,言問団子,,,35.718555,139.809151
,青柳正家,,,35.715789,139.808601
,麸澤（有）,,,35.715812,139.809536
,サミットストア 両国石原店,,,35.701671,139.798844
,丸井錦糸町店,,,35.695076,139.813782
,眼鏡市場 オリナス錦糸町店,,,35.700889,139.816049
,オリナス,,,35.700593,139.81722
,オリンピック 墨田文花店,,,35.706799,139.823674
,スーパーベルクス 東墨田店,,,35.719555,139.830946
荒川區,荒川車庫前,,,35.750913,139.752851
,荒川遊園地前,,,35.750666,139.757549
,小台,,,35.750488,139.761735
,宮之前,,,35.749817,139.766183
,熊野前,,,35.748527,139.769789
,赤土小學校前,,,35.742876,139.769042
,東尾久三丁目,,,35.745659,139.773873
,町屋二丁目,,,35.743932,139.77643
,町屋站前,,,35.742795,139.780883
,町屋,,,35.742237,139.781383
,新三河島,,,35.737307,139.774104
,三河島,,,35.733277,139.778457
,西日暮里,,,35.732019,139.76689
,日暮里,,,35.728201,139.77062
,荒川七丁目,,,35.741977,139.784157
,荒川二丁目,,,35.738571,139.784705
,荒川區役所前,,,35.734921,139.786413
,荒川一中前,,,35.733767,139.788844
,三之輪橋,,,35.732208,139.791512
,南千住,,,35.733342,139.799078
,都立尾久の原公園,,,35.74988,139.775674
,西日暮里公園,,,35.731607,139.766534
